check_id,bang,cot,dimension,mo_ta,count,rate_pct,severity,phan_loai,action,owner
QC0.6-01,order_items,"unit_price,cogs (products)",business_rule,"Ban duoi gia von o muc line-item (unit_price < products.cogs). Da audit doc lap khop 133.052/714.669. Rate ngay-gop (~9,97%, theo sprint plan) thap hon rate dong-hang (18,62%) la HOP LY (nhieu dong/ngay, vai dong lai bu duoc dong lo)",133052,18.6173,high,hien-tuong-nghiep-vu,"document (giu nguyen, phan anh chien luoc gia/khuyen mai sau, KHONG sua)",@da
QC0.6-02,returns,"refund_amount,payments.payment_value",business_rule,"refund_amount > payment_value tuong ung O MUC DONG RETURN - vi pham logic hoan tien (hoan nhieu hon da thu). Ty le refund/payment bi chan tren ~1,25x (min=1.000,median=1.097,max=1.250) - khong random vo han, nghi la loi phat sinh du lieu co chu dich (tuong tu pattern '382 ngay lo gop'), KHONG giai thich duoc bang shipping_fee hay logic nghiep vu ro rang. Da audit doc lap khop 3.430/39.939",3430,8.5881,critical,loi-data,"fix (dieu tra nguon truoc khi dung SUM(refund_amount) cho bao cao tai chinh/feature model; neu khong tim duoc business rule giai thich -> cap refund_amount tai payment_value hoac loai tru khoi tinh toan)",@da
QC0.6-03,returns,"refund_amount (SUM theo order_id)",business_rule,"O muc DON HANG (cong don nhieu return cung order_id): SUM(refund_amount) > payment_value cua don. Day la muc TONG HOP se dung cho bao cao/feature -> uu tien xu ly truoc QC0.6-02",3640,10.0937,critical,loi-data,"fix (nhu QC0.6-02, uu tien vi day la muc tong hop dung truc tiep cho model/bao cao)",@ds
QC0.6-04,orders,"order_status vs shipments",business_rule,"order_status in {delivered,shipped,returned} nhung KHONG co ban ghi shipments tuong ung. Toan bo 564 dong nam trong order_date 2022-12-22 -> 2022-12-31 (10 ngay cuoi lich su) -> nghi ETL cat du lieu shipment cuoi ky, khong phai loi rai rac. Da audit doc lap khop 564/566.631, breakdown {delivered:524, returned:29, shipped:11}",564,0.0995,high,loi-data,"fix (bo sung ban ghi shipment thieu neu co nguon, hoac loai 10 ngay cuoi khoi phan tich fulfillment-rate/logistics; KHONG dung shipments lam ground-truth tuyet doi cho giai doan nay)",@da
QC0.6-05,"order_items/payments/reviews/promotions/shipments","7 luat con lai (quantity>0, discount trong khoang hop le, rating in [1,5], installments>=1, payment_value>=0, bounce/fill/sell_through_rate in [0,1], date-logic ship>=order/delivery>=ship/end>=start)",business_rule,"0 vi pham tren 7 luat nghiep vu con lai",0,0.0000,none,khong-phai-loi,accept,@da
QC0.7-01,web_traffic,date,time_coverage,"Thieu tron 1 khoi 181 ngay dau chuoi (2012-07-04 -> 2012-12-31) - he thong tracking web trien khai TRE HON ~6 thang so voi ngay mo ban (co orders/sales tu 2012-07-04). Gioi han du lieu nguon (data availability), khong phai loi ETL rai rac (missing_units=0 BEN TRONG pham vi rieng cua bang)",181,4.7200,med,hien-tuong-nghiep-vu,"document (loai giai doan 2012-07-04->2012-12-31 khoi training window neu dung web_traffic feature, hoac impute co ghi chu ro rang)",@da
QC0.7-02,reviews,review_date,time_coverage,"2 ngay khong co review nao phat sinh trong toan chuoi 10 nam (2012-07-11; 2021-02-22)",2,0.0522,low,hien-tuong-nghiep-vu,accept,@da
QC0.7-03,returns,return_date,time_coverage,"20 ngay khong co return nao phat sinh, rai rac nhieu nam (2019,2020x5,2021,...) khong tap trung 1 khoi -> bien dong tu nhien",20,0.5220,low,hien-tuong-nghiep-vu,accept,@da
QC0.7-04,sample_submission,Date,time_coverage,"Xac nhan horizon forecast (2023-01-01 -> 2024-07-01, 548 ngay lien tuc) noi tiep NGAY SAU ngay cuoi lich su (2022-12-31), KHONG chong lan, KHONG ho ngay -> an toan, khong leakage nhan tuong lai",0,0.0000,none,khong-phai-loi,accept,@da
QC0.8-01,"14 bang","ALL_COLS",duplicate,"0 dong trung toan bo cot (full-row duplicate) tren tat ca 14 bang",0,0.0000,none,khong-phai-loi,accept,@ds
QC0.8-02,order_items,discount_amount,outlier,"Outlier IQR-1.5x tren discount_amount - ty le cao nhat trong cac cot kiem, nhung phan phoi lien tuc (distinct/count=0.92), khong phai sentinel/loi nhap -> duoi phan phoi thuc su dai",105767,14.7994,med,hien-tuong-nghiep-vu,"document (dung robust-scaler/log-transform khi model hoa thay vi loai bo)",@ds
QC0.8-03,order_items,unit_price,outlier,"Outlier IQR-1.5x tren unit_price, phan phoi lien tuc",8623,1.2066,low,hien-tuong-nghiep-vu,document,@ds
QC0.8-04,payments,payment_value,outlier,"Outlier IQR-1.5x tren payment_value, phan phoi lien tuc",30219,4.6710,low,hien-tuong-nghiep-vu,document,@ds
QC0.8-05,returns,refund_amount,outlier,"Outlier IQR-1.5x tren refund_amount, phan phoi lien tuc",2778,6.9556,low,hien-tuong-nghiep-vu,document,@ds
QC0.8-06,products,"price,cogs",outlier,"Outlier IQR-1.5x tren price (31/2412=1,29%) va cogs (37/2412=1,53%)",68,1.4100,low,hien-tuong-nghiep-vu,document,@ds
QC0.8-07,order_items,"order_id+product_id",duplicate,"(doi chieu QC0.3-01) 16 nhom key trung, 0 nhom full-row-duplicate that",16,0.0045,low,hien-tuong-nghiep-vu,document,@ds
QC0.9-01,"sales vs order_items","Revenue,COGS",reconciliation,"sales.Revenue/COGS khop tuyet doi SUM(order_items gross=unit_price*qty) va SUM(qty*products.cogs) tren toan bo lich su",0,0.0000,none,khong-phai-loi,accept,@ds
QC0.9-02,sales,"Revenue (gross vs net)",reconciliation,"Gap gross vs net (loai cancelled + tru discount) = 13,37% - khop ky vong sprint plan (~13,37%)",0,13.3692,none,khong-phai-loi,accept,@ds
QC0.9-03,"orders vs shipments",order_id,reconciliation,"orders - shipments = 80.878 don khong co shipment; doi chieu status chua-toi-buoc-ship (cancelled+created+paid=80.314) chi giai thich duoc 80.314/80.878 -> con LECH 564 don (delivered/shipped/returned nhung thieu shipment) CHUA giai thich duoc bang status -> trung root-cause QC0.6-04",564,0.0995,high,loi-data,"fix (cung root cause QC0.6-04 - nghi ETL cat du lieu 10 ngay cuoi ky 2022)",@ds
QC0.9-04,"payments vs order_items",payment_value,reconciliation,"SUM(payments.payment_value) khop tuyet doi SUM(order_items net=gross-discount) khi tinh TREN TOAN BO status (khong loai cancelled) -> ket luan: payment duoc thu tren toan bo don ke ca don sau nay bi huy",0,0.0000,none,khong-phai-loi,accept,@ds
QC0.9-05,"returns vs orders",order_id,reconciliation,"COUNT(DISTINCT order_id trong returns)=36.062 vs COUNT(orders.status=returned)=36.142 -> lech 0,22% (80 don), nghi return-partial khong luon doi status don sang 'returned'",80,0.2213,low,hien-tuong-nghiep-vu,document,@ds
QC0.10-01,"orders/order_items/products/payments/returns/shipments/inventory","5 finding severity cao nhat","audit_doc_lap","Audit doc lap: tu chay lai pandas tren du lieu goc (KHONG dung so cu) cho 5 finding severity cao nhat: (1) refund>payment dong-return, (2) refund>payment muc-don, (3) unit_price<cogs, (4) order_status thieu shipment, (5) order_items grain-dup + inventory.reorder_flag chet. Ket qua: 5/5 KHOP 100% voi so de/da/ds da bao cao -> tin cay pipeline QC0.1-0.9 cao. Script: tester/qc10_independent_audit.py",5,100.0000,none,khong-phai-loi,"accept (xac nhan do tin cay)",@tester
