check_type,table,col_or_key,method,count,total_rows,rate_pct,detail,classification
outlier,returns,refund_amount,zscore_3,904,39939,2.2635,"|z|>3, mean=12784.46, std=14092.15; gia tri outlier da dang (distinct/count=1.00) - phan phoi lien tuc, khong phai sentinel/loi nhap",outlier_that
invalid_value,products,price,rule_negative,0,2412,0.0,0 dong price < 0 (min=9.056593572436444),hop_le_nghiep_vu
invalid_value,products,price,rule_zero,0,2412,0.0,0 dong price == 0,hop_le_nghiep_vu
outlier,products,price,IQR_1.5x,31,2412,1.2852,"nguong IQR=[-11432.16,19212.12]; min=9.06; max=40950.00; gia tri outlier da dang (distinct/count=0.97) - phan phoi lien tuc, khong phai sentinel/loi nhap",outlier_that
outlier,products,price,zscore_3,30,2412,1.2438,"|z|>3, mean=4928.22, std=4776.74; gia tri outlier da dang (distinct/count=0.97) - phan phoi lien tuc, khong phai sentinel/loi nhap",outlier_that
invalid_value,products,cogs,rule_negative,0,2412,0.0,0 dong cogs < 0 (min=5.183828982020106),hop_le_nghiep_vu
invalid_value,products,cogs,rule_zero,0,2412,0.0,0 dong cogs == 0,hop_le_nghiep_vu
outlier,products,cogs,IQR_1.5x,37,2412,1.534,"nguong IQR=[-8709.71,14609.69]; min=5.18; max=38902.50; gia tri outlier da dang (distinct/count=0.97) - phan phoi lien tuc, khong phai sentinel/loi nhap",outlier_that
outlier,products,cogs,zscore_3,29,2412,1.2023,"|z|>3, mean=3868.35, std=3878.58; gia tri outlier da dang (distinct/count=0.97) - phan phoi lien tuc, khong phai sentinel/loi nhap",outlier_that
invalid_value,web_traffic,avg_session_duration_sec,rule_negative,0,3652,0.0,0 dong avg_session_duration_sec < 0 (min=100.1),hop_le_nghiep_vu
invalid_value,web_traffic,avg_session_duration_sec,rule_zero,0,3652,0.0,0 dong avg_session_duration_sec == 0,hop_le_nghiep_vu
outlier,web_traffic,avg_session_duration_sec,IQR_1.5x,0,3652,0.0,"nguong IQR=[-7.55,430.45]; min=100.10; max=319.90; khong co outlier",hop_le_nghiep_vu
outlier,web_traffic,avg_session_duration_sec,zscore_3,0,3652,0.0,"|z|>3, mean=210.28, std=63.77; khong co outlier",hop_le_nghiep_vu
invalid_value,web_traffic,sessions,rule_negative,0,3652,0.0,0 dong sessions < 0 (min=7973),hop_le_nghiep_vu
invalid_value,web_traffic,sessions,rule_zero,0,3652,0.0,0 dong sessions == 0,hop_le_nghiep_vu
outlier,web_traffic,sessions,IQR_1.5x,0,3652,0.0,"nguong IQR=[-4926.00,53808.00]; min=7973.00; max=50947.00; khong co outlier",hop_le_nghiep_vu
outlier,web_traffic,sessions,zscore_3,0,3652,0.0,"|z|>3, mean=25041.77, std=9422.61; khong co outlier",hop_le_nghiep_vu
invalid_value,web_traffic,page_views,rule_negative,0,3652,0.0,0 dong page_views < 0 (min=30451),hop_le_nghiep_vu
invalid_value,web_traffic,page_views,rule_zero,0,3652,0.0,0 dong page_views == 0,hop_le_nghiep_vu
outlier,web_traffic,page_views,IQR_1.5x,18,3652,0.4929,"nguong IQR=[-24674.00,235742.00]; min=30451.00; max=275560.00; gia tri outlier da dang (distinct/count=1.00) - phan phoi lien tuc, khong phai sentinel/loi nhap",outlier_that
outlier,web_traffic,page_views,zscore_3,10,3652,0.2738,"|z|>3, mean=108615.22, std=44472.06; gia tri outlier da dang (distinct/count=1.00) - phan phoi lien tuc, khong phai sentinel/loi nhap",outlier_that
invalid_value,returns,refund_amount,rule_negative,0,39939,0.0,0 dong refund_amount < 0,hop_le_nghiep_vu
invalid_value,order_items,quantity,rule_zero_illogical,0,714669,0.0,0 dong quantity==0 (mua 0 san pham - vo ly neu co),hop_le_nghiep_vu
business_outlier,products,price_vs_cogs,rule,0,2412,0.0,"0 SKU co price < cogs (gia ban < gia von - hien tuong nghiep vu, khong phai loi nhap)",hop_le_nghiep_vu
invalid_value,order_items,discount_amount_vs_line_total,rule,0,714669,0.0,0 dong discount_amount > unit_price*quantity (giam gia vuot gia tri dong hang),hop_le_nghiep_vu
